,date,B1i,B1f,B2i,B2f,B3i,B3f,B4i,B4f
0,11/07/2020,2020-07-11 02:11:29.497058,2020-07-11 02:58:36.726583,,,,,,
0,21/07/2020,2020-07-21 06:11:24.859934,2020-07-21 06:55:02.668950,,,,,,
0,28/10/2020,2020-10-28 12:46:15.035602,2020-10-28 13:28:43.005608,,,,,,
0,17/11/2020,2020-11-17 15:19:08.389305,2020-11-17 15:57:32.048586,2020-11-17 18:09:00.289606,2020-11-17 18:55:32.597212,,,,
0,18/11/2020,2020-11-18 19:08:07.785190,2020-11-18 19:34:18.457379,2020-11-18 19:43:02.018209,2020-11-18 20:15:36.621608,,,,
0,19/11/2020,2020-11-19 06:01:59.691928,2020-11-19 06:31:39.770907,2020-11-19 15:53:02.109274,2020-11-19 16:29:06.225277,,,,
0,21/11/2020,2020-11-21 10:04:43.984284,2020-11-21 10:26:50.328569,2020-11-21 10:41:22.926571,2020-11-21 11:02:19.466608,2020-11-21 11:25:00.712574,2020-11-21 11:54:05.914574,,
0,23/11/2020,2020-11-23 22:53:21.315191,2020-11-23 23:24:11.216604,,,,,,
0,24/11/2020,2020-11-24 00:52:01.715838,2020-11-24 01:31:00.273904,2020-11-24 19:02:46.817589,2020-11-24 19:40:35.565211,,,,
0,27/11/2020,2020-11-27 18:47:01.044606,2020-11-27 19:07:57.581182,,,,,,
0,08/12/2020,2020-12-08 19:05:49.871595,2020-12-08 19:44:13.543389,,,,,,
0,06/06/2021,2021-06-06 11:20:16.282607,2021-06-06 11:50:17.932293,,,,,,
0,23/06/2021,2021-06-23 07:02:31.712582,2021-06-23 07:46:12.137596,,,,,,
0,28/06/2021,2021-06-28 09:21:29.950597,2021-06-28 10:14:29.397283,,,,,,
0,12/07/2021,2021-07-12 09:32:37.844581,2021-07-12 10:19:47.936291,,,,,,
0,13/07/2021,2021-07-13 18:26:41.505576,2021-07-13 19:11:31.817598,,,,,,
0,15/07/2021,2021-07-15 21:13:23.276190,2021-07-15 21:52:59.151213,,,,,,
0,20/07/2021,2021-07-20 16:12:08.027299,2021-07-20 16:55:13.527296,,,,,,
0,22/07/2021,2021-07-22 08:43:36.034949,2021-07-22 09:26:06.591583,,,,,,
0,23/07/2021,2021-07-23 09:59:57.505572,2021-07-23 10:30:49.277303,,,,,,
0,17/08/2021,2021-08-17 10:32:09.847294,2021-08-17 11:04:46.423606,,,,,,
0,21/08/2021,2021-08-21 18:28:41.262601,2021-08-21 19:07:15.331200,2021-08-21 19:11:54.847206,2021-08-21 19:56:10.222181,,,,
0,22/08/2021,2021-08-22 00:22:52.379923,2021-08-22 00:51:59.340836,2021-08-22 05:56:50.301572,2021-08-22 06:29:26.887580,,,,
0,28/08/2021,2021-08-28 10:06:04.617603,2021-08-28 10:39:51.087601,2021-08-28 11:15:57.289571,2021-08-28 11:32:15.634576,,,,
0,30/08/2021,2021-08-30 01:13:32.449935,2021-08-30 01:59:32.633918,2021-08-30 14:37:43.472307,2021-08-30 15:16:09.450586,,,,
0,07/09/2021,2021-09-07 04:11:45.644600,2021-09-07 04:46:07.054944,2021-09-07 05:12:54.255601,2021-09-07 05:33:52.054934,,,,
0,20/09/2021,2021-09-20 20:26:58.776186,2021-09-20 21:11:14.160576,2021-09-20 21:31:02.091570,2021-09-20 22:11:12.871372,2021-09-20 22:32:10.716571,2021-09-20 22:46:44.183207,,
0,25/10/2021,2021-10-25 00:38:34.981006,2021-10-25 01:40:53.262922,2021-10-25 15:56:53.801600,2021-10-25 16:18:26.566304,2021-10-25 19:46:19.776178,2021-10-25 20:19:31.325585,2021-10-25 21:48:37.005582,2021-10-25 22:27:02.996575
0,27/10/2021,2021-10-27 00:22:25.587069,2021-10-27 01:00:16.649061,,,,,,
0,28/10/2021,2021-10-28 15:18:41.557304,2021-10-28 16:08:46.350300,,,,,,
0,12/11/2021,2021-11-12 19:19:38.973596,2021-11-12 20:03:19.442585,,,,,,
